Title,Price,Unit Type,Size,Bedrooms,Bathrooms,Date,Location
Seri Kembangan Pangsapuri Suria Permai [RizalProperties],RM 208 800,Apartment / Condominium,840 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 1, 10:27",Seri Kembangan
Selayang Radius Residence Apartment Selayang Heights [RizalProperties],RM 256 000,Apartment / Condominium,816 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 1, 10:26",Batu Caves
Kajang Pangsapuri Nilam Indah Apartment [RizalProperties],RM 135 000,Apartment / Condominium,883 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 1, 10:24",Kajang
Freehold 7 Tree Seven Residence Condominium,RM 420 000,Apartment / Condominium,1237 sq.ft.,3 Bedrooms,3 Bathrooms,"May 31, 19:10",Bandar Sungai Long
Ampang 3 Bedroom Ampang Damai Condominium [RizalProperties],RM 288 000,Apartment / Condominium,1023 sq.ft.,3 Bedrooms,2 Bathrooms,"May 31, 18:30",Ampang
Puchong Koi Tropika Condominium Jalan Puchong [RizaLProperties],RM 348 300,Apartment / Condominium,1184 sq.ft.,3 Bedrooms,2 Bathrooms,"May 31, 18:29",Puchong
Flat/Apartment Unit,RM 467 000,Apartment / Condominium,2055 sq.ft.,4 Bedrooms,3 Bathrooms,"May 30, 17:01",Seri Kembangan
Condominium Unit,RM 350 000,Apartment / Condominium,1162 sq.ft.,3 Bedrooms,2 Bathrooms,"May 30, 16:24",Subang Jaya
Ampang Bella Vista Condo Taman Cahaya Near LRT [RizalProperties],RM 259 000,Apartment / Condominium,1033 sq.ft.,3 Bedrooms,2 Bathrooms,"May 30, 11:30",Ampang
"BANK LELONG : 4-10, Level 4, Apartment Sri Bayu, Desa Sri Bayu, RAWANG",RM 72 000,Apartment / Condominium,650 sq.ft.,3 Bedrooms,2 Bathrooms,"May 29, 17:45",Rawang
"Imperial Hatamas Condominium, Cheras",RM 425 000,Apartment / Condominium,1097 sq.ft.,3 Bedrooms,2 Bathrooms,"May 28, 21:44",Cheras
Dataran Prestij (SqWhere),RM 540 000,Apartment / Condominium,979 sq.ft.,2 Bedrooms,2 Bathrooms,"May 28, 15:50",Sungai Buloh
"BANK LELONG No.02-20-07, Verdi Residence, Symphony Hills, Cyberjaya",RM 291 000,Apartment / Condominium,700 sq.ft.,1 Bedroom,1 Bathroom,"May 28, 12:30",Cyberjaya
"Bank Lelong BUMI LOT No.C-11A-06, Apartment Lestari, Damansara Damai",RM 100 800,Apartment / Condominium,650 sq.ft.,3 Bedrooms,2 Bathrooms,"May 28, 11:24",Damansara Damai
"BANK LELONG : No.C-5-09, Apartment at Bandar Bukit Puchong",RM 90 000,Apartment / Condominium,657 sq.ft.,3 Bedrooms,2 Bathrooms,"May 27, 18:25",Alam Impian
"BANK LELONG No.A-13-06, Block Amethyst, Cristal Serin @ CYBERJAYA",RM 397 000,Apartment / Condominium,1579 sq.ft.,4 Bedrooms,2 Bathrooms,"May 27, 15:47",Cyberjaya
"BANK LELONG No.B-23-03, Residensi PR1MA Kajang Utama, KAJANG",RM 255 000,Apartment / Condominium,904 sq.ft.,3 Bedrooms,2 Bathrooms,"May 27, 15:45",Kajang
"BANK LELONG H-1-13, Block H, Jln Pramugara, Tmn Langat Utama, BANTING",RM 89 100,Apartment / Condominium,620 sq.ft.,3 Bedrooms,2 Bathrooms,"May 27, 13:47",Banting
"BANK LELONG No.C-8-10, Unipark Condo @ De Centrum, BANGI (4 bedrooms)",RM 297 000,Apartment / Condominium,1297 sq.ft.,4 Bedrooms,4 Bathrooms,"May 27, 09:49",Kajang
Freehold 4 Bedroom Lakefront Residence Condominium,RM 500 000,Apartment / Condominium,1302 sq.ft.,4 Bedrooms,3 Bathrooms,"May 26, 21:45",Cyberjaya
"Andari Town Villa, Selayang Heights, Batu Caves",RM 255 200,Apartment / Condominium,1101 sq.ft.,3 Bedrooms,2 Bathrooms,"May 26, 21:26",369
Residensi Estetika Service Apartment (Astetica Residences),RM 540 000,Apartment / Condominium,1153 sq.ft.,4 Bedrooms,2 Bathrooms,"May 25, 19:50",Seri Kembangan
Sungai Buloh Dataran Prestij @ SqWhere Apartment [RizalProperties],RM 344 000,Apartment / Condominium,979 sq.ft.,3 Bedrooms,2 Bathrooms,"May 25, 17:24",Sungai Buloh
Seri Kembangan East Lake Apartment Duplex Penthouse [RizalProperties],RM 467 000,Apartment / Condominium,2056 sq.ft.,3 Bedrooms,2 Bathrooms,"May 25, 17:22",Seri Kembangan
Force Selling Impiria residence 1317sq huge unit bukit tinggi 2 Klang,RM 568 000,Apartment / Condominium,1317 sq.ft.,3 Bedrooms,2 Bathrooms,"May 24, 13:49",Klang
"BANK LELONG : No.D-913A, Palm Spring @ Kota Damansara, Jalan PJU 3/29",RM 298 000,Apartment / Condominium,925 sq.ft.,3 Bedrooms,2 Bathrooms,"May 24, 13:02",Kota Damansara
