,Title,Price,Unit Type,Size,Bedrooms,Bathrooms,Date,Location,States
0,Apartment in Taman Puchong Indah,RM 97 200,Apartment / Condominium,645 sq.ft.,3 Bedrooms,1 Bathroom,Today,Puchong,Selangor
1,"Freehold 3 Bedroom Impiana Apartment 1 (Flat), Cheras",RM 117 000,Apartment / Condominium,657 sq.ft.,3 Bedrooms,1 Bathroom,2023-07-01,Cheras,Selangor
2,Skylake Residence Serviced Apartment,RM 299 700,Apartment / Condominium,883 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 30, 19:25",Puchong,Selangor
3,Skylake Residence Serviced Apartment,RM 299 700,Apartment / Condominium,883 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 30, 19:25",Puchong,Selangor
4,Azure Residensi Serviced Apartment,RM 550 800,Apartment / Condominium,1004 sq.ft.,1 Bedroom,2 Bathrooms,"Jun 30, 19:25",Petaling Jaya,Selangor
5,Sri Cempaka Apartment - Bandar Puchong Jaya Freehold,RM 180 000,Apartment / Condominium,810 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 30, 19:25",Puchong,Selangor
6,Menara Solstice 1,RM 179 000,Apartment / Condominium,450 sq.ft.,1 Bedroom,1 Bathroom,"Jun 30, 16:05",Cyberjaya,Selangor
7,The Arc,RM 263 000,Apartment / Condominium,1012 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 30, 15:15",Cyberjaya,Selangor
8,Puncak Alam Danau Perintis Kondo Berhampiran UITM [RizalProperties],RM 244 000,Apartment / Condominium,893 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 30, 15:08",Puncak Alam,Selangor
9,"BANK LELONG No.2-21-08, Apartment Saujana Permai 2, KAJANG",RM 224 000,Apartment / Condominium,1001 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 29, 15:27",Kajang,Selangor
10,"BANK LELONG No.02-24-09, Verdi Residence @ Symphony Hills, CYBERJAYA",RM 360 000,Apartment / Condominium,990 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 29, 15:25",Cyberjaya,Selangor
11,"BANK LELONG No.F-1-7, Golden Villa Apartment, Taman Sejahtera, KLANG",RM 128 000,Apartment / Condominium,768 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 29, 15:25",Klang,Selangor
12,big size astoria ampang 1464sqft below market Xtreme Meridian,RM 874 800,Apartment / Condominium,1464 sq.ft.,4 Bedrooms,3 Bathrooms,"Jun 29, 12:50",Ampang,Selangor
13,"BANK LELONG No.T4-21-11, Lakefront Residence @ CYBERJAYA (Dual-Key)",RM 400 000,Apartment / Condominium,1302 sq.ft.,4 Bedrooms,3 Bathrooms,"Jun 29, 09:05",Cyberjaya,Selangor
14,"BANK LELONG No.A-1-6, Casa Ria Apartment, Bandar Country Homes, RAWANG",RM 153 000,Apartment / Condominium,797 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 29, 09:05",Rawang,Selangor
15,"BANK LELONG 21-23A, Amcorp Serviced Suite @ Amcorp Mall, Petaling Jaya",RM 270 000,Apartment / Condominium,495 sq.ft.,1 Bedroom,1 Bathroom,"Jun 28, 17:26",Petaling Jaya,Selangor
16,Tiara Intan Condominium,RM 240 570,Apartment / Condominium,904 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 28, 17:15",Ampang,Selangor
17,i-Soho i-City Shah Alam Seksyen 7,RM 270 000,Apartment / Condominium,466 sq.ft.,1 Bedroom,1 Bathroom,"Jun 27, 22:10",Shah Alam,Selangor
